ဓ	Dha
ဓျွေ	Dhyway
ဓျွေ့	Dhyway
ဓျွေး	Dhyway
ဓျွဲ	Dhywae
ဓျွဲ့	Dhywae
ဓျွော်	Dhywaw
ဓြွ	Dhywa
ဓြွက်	Dhywet
ဓြွင်	Dhywin
ဓြွင့်	Dhywin
ဓြွင်း	Dhywin
ဓြွတ်	Dhywat
ဓြွန်	Dhywan
ဓြွန့်	Dhywan
ဓြွန်း	Dhywan
ဓြွပ်	Dhywap
ဓြွမ်	Dhywam
ဓြွမ့်	Dhywam
ဓြွမ်း	Dhywam
ဓြွာ	Dhywar
ဓြွာ့	Dhywar
ဓြွား	Dhywar
ဓြွိ	Dhywi
ဓြွီ	Dhywee
ဓြွီး	Dhywee
ဓြွေ	Dhyway
ဓြွေ့	Dhyway
ဓြွေး	Dhyway
ဓြွဲ	Dhywae
ဓြွဲ့	Dhywae
ဓြွော်	Dhywaw
