လ	La
လှီ	Lhee
လှီး	Lhee
လှု	Lhu
လှုတ်	Lhok
လှုန်	Lhon
လှုန့်	Lhon
လှုန်း	Lhon
လှုပ်	Lhok
လှုံ	Lhon
လှုံ့	Lhon
လှုံး	Lhon
လှူ	Lhoo
လှူး	Lhoo
လှေ	Lhay
လှေ့	Lhay
လှေး	Lhay
လှဲ	Lhae
လှဲ့	Lhae
လှော	Lhaw
လှော့	Lhaw
လှောက်	Lhauk
လှောင်	Lhaung
လှောင့်	Lhaung
လှောင်း	Lhaung
လှော်	Lhaw
လှို	Lho
လှို့	Lho
လှိုး	Lho
လှိုက်	Lhaik
လှိုင်	Lhaing
လှိုင့်	Lhaing
လှိုင်း	Lhaing
လျှ	Lyha
လျှက်	Lyhet
လျှင်	Lyhin
လျှင့်	Lyhin
လျှင်း	Lyhin
လျှစ်	Lyhit
လျှည်	Lyhyi
လျှည့်	Lyhyi
လျှည်း	Lyhyi
လျှတ်	Lyhat
လျှန်	Lyhan
လျှန့်	Lyhan
လျှန်း	Lyhan
လျှပ်	Lyhap
လျှမ်	Lyham
လျှမ့်	Lyham
လျှမ်း	Lyham
လျှယ်	Lyhae
လျှံ	Lyhan
လျှံ့	Lyhan
လျှာ	Lyhar
လျှာ့	Lyhar
လျှား	Lyhar
လျှိ	Lyhi
လျှိတ်	Lyheik
လျှိန်	Lyhein
လျှိန့်	Lyhein
လျှိန်း	Lyhein
လျှိပ်	Lyheik
လျှိမ်	Lyhein
လျှိမ့်	Lyhein
လျှိမ်း	Lyhein
လျှီ	Lyhee
လျှီး	Lyhee
လျှု	Lyhu
လျှုတ်	Lyhok
လျှုန်	Lyhon
လျှုန့်	Lyhon
လျှုန်း	Lyhon
လျှုပ်	Lyhok
လျှုံ	Lyhon
လျှုံ့	Lyhon
လျှုံး	Lyhon
လျှူ	Lyhoo
လျှူး	Lyhoo
လျှေ	Lyhay
လျှေ့	Lyhay
လျှေး	Lyhay
လျှဲ	Lyhae
လျှဲ့	Lyhae
လျှော	Lyhaw
လျှော့	Lyhaw
လျှောက်	Lyhauk
လျှောင်	Lyhaung
လျှောင့်	Lyhaung
လျှောင်း	Lyhaung
လျှော်	Lyhaw
လျှို	Lyho
လျှို့	Lyho
လျှိုး	Lyho
လျှိုက်	Lyhaik
လျှိုင်	Lyhaing
လျှိုင့်	Lyhaing
လျှိုင်း	Lyhaing
လြှ	Lyha
လြှက်	Lyhet
လြှင်	Lyhin
လြှင့်	Lyhin
လြှင်း	Lyhin
လြှစ်	Lyhit
လြှည်	Lyhyi
လြှည့်	Lyhyi
လြှည်း	Lyhyi
လြှတ်	Lyhat
လြှန်	Lyhan
လြှန့်	Lyhan
လြှန်း	Lyhan
လြှပ်	Lyhap
လြှမ်	Lyham
လြှမ့်	Lyham
လြှမ်း	Lyham
လြှယ်	Lyhae
လြှံ	Lyhan
လြှံ့	Lyhan
လြှာ	Lyhar
လြှာ့	Lyhar
လြှား	Lyhar
လြှိ	Lyhi
လြှိတ်	Lyheik
လြှိန်	Lyhein
လြှိန့်	Lyhein
လြှိန်း	Lyhein
လြှိပ်	Lyheik
လြှိမ်	Lyhein
လြှိမ့်	Lyhein
လြှိမ်း	Lyhein
လြှီ	Lyhee
လြှီး	Lyhee
လြှု	Lyhu
လြှုတ်	Lyhok
လြှုန်	Lyhon
လြှုန့်	Lyhon
လြှုန်း	Lyhon
လြှုပ်	Lyhok
လြှုံ	Lyhon
လြှုံ့	Lyhon
လြှုံး	Lyhon
လြှူ	Lyhoo
လြှူး	Lyhoo
လြှေ	Lyhay
လြှေ့	Lyhay
လြှေး	Lyhay
လြှဲ	Lyhae
လြှဲ့	Lyhae
လြှော	Lyhaw
လြှော့	Lyhaw
လြှောက်	Lyhauk
လြှောင်	Lyhaung
လြှောင့်	Lyhaung
လြှောင်း	Lyhaung
လြှော်	Lyhaw
လြှို	Lyho
လြှို့	Lyho
လြှိုး	Lyho
လြှိုက်	Lyhaik
လြှိုင်	Lyhaing
လြှိုင့်	Lyhaing
လြှိုင်း	Lyhaing
လွှ	Lhwa
လွှက်	Lhwet
လွှင်	Lhwin
လွှင့်	Lhwin
လွှင်း	Lhwin
လွှတ်	Lhwat
လွှန်	Lhwan
လွှန့်	Lhwan
လွှန်း	Lhwan
လွှပ်	Lhwap
လွှမ်	Lhwam
လွှမ့်	Lhwam
လွှမ်း	Lhwam
လွှာ	Lhwar
လွှာ့	Lhwar
လွှား	Lhwar
လွှိ	Lhwi
လွှီ	Lhwee
လွှီး	Lhwee
လွှေ	Lhway
လွှေ့	Lhway
လွှေး	Lhway
လွှဲ	Lhwae
လွှဲ့	Lhwae
လွှော်	Lhwaw
လျွှ	Lyhwa
လျွှက်	Lyhwet
လျွှင်	Lyhwin
လျွှင့်	Lyhwin
လျွှင်း	Lyhwin
လျွှတ်	Lyhwat
လျွှန်	Lyhwan
လျွှန့်	Lyhwan
လျွှန်း	Lyhwan
လျွှပ်	Lyhwap
လျွှမ်	Lyhwam
လျွှမ့်	Lyhwam
လျွှမ်း	Lyhwam
လျွှာ	Lyhwar
လျွှာ့	Lyhwar
လျွှား	Lyhwar
လျွှိ	Lyhwi
လျွှီ	Lyhwee
လျွှီး	Lyhwee
လျွှေ	Lyhway
လျွှေ့	Lyhway
လျွှေး	Lyhway
လျွှဲ	Lyhwae
လျွှဲ့	Lyhwae
လျွှော်	Lyhwaw
လြွှ	Lyhwa
လြွှက်	Lyhwet
လြွှင်	Lyhwin
လြွှင့်	Lyhwin
လြွှင်း	Lyhwin
လြွှတ်	Lyhwat
လြွှန်	Lyhwan
လြွှန့်	Lyhwan
လြွှန်း	Lyhwan
လြွှပ်	Lyhwap
လြွှမ်	Lyhwam
လြွှမ့်	Lyhwam
လြွှမ်း	Lyhwam
လြွှာ	Lyhwar
လြွှာ့	Lyhwar
လြွှား	Lyhwar
လြွှိ	Lyhwi
လြွှီ	Lyhwee
လြွှီး	Lyhwee
လြွှေ	Lyhway
လြွှေ့	Lyhway
လြွှေး	Lyhway
လြွှဲ	Lyhwae
လြွှဲ့	Lyhwae
လြွှော်	Lyhwaw
