ဏျွန့်	Nywan
ဏျွန်း	Nywan
ဏျွပ်	Nywap
ဏျွမ်	Nywam
ဏျွမ့်	Nywam
ဏျွမ်း	Nywam
ဏျွာ	Nywar
ဏျွာ့	Nywar
ဏျွား	Nywar
ဏျွိ	Nywi
ဏျွီ	Nywee
ဏျွီး	Nywee
ဏျွေ	Nyway
ဏျွေ့	Nyway
ဏျွေး	Nyway
ဏျွဲ	Nywae
ဏျွဲ့	Nywae
ဏျွော်	Nywaw
ဏြွ	Nywa
ဏြွက်	Nywet
ဏြွင်	Nywin
ဏြွင့်	Nywin
ဏြွင်း	Nywin
ဏြွတ်	Nywat
ဏြွန်	Nywan
ဏြွန့်	Nywan
ဏြွန်း	Nywan
ဏြွပ်	Nywap
ဏြွမ်	Nywam
ဏြွမ့်	Nywam
ဏြွမ်း	Nywam
ဏြွာ	Nywar
ဏြွာ့	Nywar
ဏြွား	Nywar
ဏြွိ	Nywi
ဏြွီ	Nywee
ဏြွီး	Nywee
ဏြွေ	Nyway
ဏြွေ့	Nyway
ဏြွေး	Nyway
ဏြွဲ	Nywae
ဏြွဲ့	Nywae
ဏြွော်	Nywaw
ဏှ	Nha
ဏှက်	Nhet
ဏှင်	Nhin
ဏှင့်	Nhin
ဏှင်း	Nhin
ဏှစ်	Nhit
ဏှည်	Nhyi
ဏှည့်	Nhyi
ဏှည်း	Nhyi
ဏှတ်	Nhat
ဏှန်	Nhan
ဏှန့်	Nhan
ဏှန်း	Nhan
ဏှပ်	Nhap
ဏှမ်	Nham
ဏှမ့်	Nham
ဏှမ်း	Nham
ဏှယ်	Nhae
ဏှံ	Nhan
ဏှံ့	Nhan
ဏှာ	Nhar
ဏှာ့	Nhar
ဏှား	Nhar
ဏှိ	Nhi
ဏှိတ်	Nheik
ဏှိန်	Nhein
ဏှိန့်	Nhein
ဏှိန်း	Nhein
ဏှိပ်	Nheik
ဏှိမ်	Nhein
ဏှိမ့်	Nhein
ဏှိမ်း	Nhein
ဏှီ	Nhee
ဏှီး	Nhee
ဏှု	Nhu
ဏှုတ်	Nhok
ဏှုန်	Nhon
ဏှုန့်	Nhon
ဏှုန်း	Nhon
ဏှုပ်	Nhok
ဏှုံ	Nhon
ဏှုံ့	Nhon
ဏှုံး	Nhon
ဏှူ	Nhoo
ဏှူး	Nhoo
ဏှေ	Nhay
ဏှေ့	Nhay
ဏှေး	Nhay
ဏှဲ	Nhae
ဏှဲ့	Nhae
ဏှော	Nhaw
ဏှော့	Nhaw
ဏှောက်	Nhauk
ဏှောင်	Nhaung
ဏှောင့်	Nhaung
ဏှောင်း	Nhaung
ဏှော်	Nhaw
ဏှို	Nho
ဏှို့	Nho
ဏှိုး	Nho
ဏှိုက်	Nhaik
ဏှိုင်	Nhaing
ဏှိုင့်	Nhaing
ဏှိုင်း	Nhaing
ဏျှ	Nyha
ဏျှက်	Nyhet
ဏျှင်	Nyhin
ဏျှင့်	Nyhin
ဏျှင်း	Nyhin
ဏျှစ်	Nyhit
ဏျှည်	Nyhyi
ဏျှည့်	Nyhyi
ဏျှည်း	Nyhyi
ဏျှတ်	Nyhat
ဏျှန်	Nyhan
ဏျှန့်	Nyhan
ဏျှန်း	Nyhan
ဏျှပ်	Nyhap
ဏျှမ်	Nyham
ဏျှမ့်	Nyham
ဏျှမ်း	Nyham
