မ	Ma
မက်	Met
မင်	Min
မင့်	Min
မင်း	Min
မစ်	Mit
မည်	Myi
မည့်	Myi
မည်း	Myi
မတ်	Mat
မန်	Man
မန့်	Man
မန်း	Man
မပ်	Map
မမ်	Mam
မမ့်	Mam
မမ်း	Mam
မယ်	Mae
မံ	Man
မံ့	Man
မာ	Mar
မာ့	Mar
မား	Mar
မိ	Mi
မိတ်	Meik
မိန်	Mein
မိန့်	Mein
မိန်း	Mein
မိပ်	Meik
မိမ်	Mein
မိမ့်	Mein
မိမ်း	Mein
မီ	Mee
မီး	Mee
မု	Mu
မုတ်	Mok
မုန်	Mon
မုန့်	Mon
မုန်း	Mon
မုပ်	Mok
မုံ	Mon
မုံ့	Mon
မုံး	Mon
မူ	Moo
မူး	Moo
မေ	May
မေ့	May
မေး	May
မဲ	Mae
မဲ့	Mae
မော	Maw
မော့	Maw
မောက်	Mauk
မောင်	Maung
မောင့်	Maung
မောင်း	Maung
မော်	Maw
မိ	Mo
မို့	Mo
မိုး	Mo
မိုက်	Maik
မိုင်	Maing
မိုင့်	Maing
မိုင်း	Maing
မျ	Mya
ပျက်	Myet
မျင်	Myin
မျင့်	Myin
မျင်း	Myin
မျစ်	Myit
မျည်	Myi
မျည့်	Myi
မျည်း	Myi
မျတ်	Myat
မျန်	Myan
မျန့်	Myan
မျန်း	Myan
မျပ်	Myap
မျမ်	Myam
မျမ့်	Myam
မျမ်း	Myam
မျယ်	Myae
မျံ	Myan
မျံ့	Myan
မျာ	Myar
မျာ့	Myar
များ	Myar
မျိ	Myi
မျိတ်	Myeik
မျိန်	Myein
မျိန့်	Myein
မျိန်း	Myein
မျိပ်	Myeik
မျိမ်	Myein
မျိမ့်	Myein
မျိမ်း	Myein
မျီ	Myee
မျီး	Myee
မျု	Myu
မျုတ်	Myok
မျုန်	Myon
မျုန့်	Myon
မျုန်း	Myon
မျုပ်	Myok
မျုံ	Myon
မျုံ့	Myon
မျုံး	Myon
မျူ	Myoo
မျူး	Myoo
မျေ	Myay
မျေ့	Myay
ျေး	Myay
မျဲ	Myae
မျဲ့	Myae
မျော	Myaw
မျော့	Myaw
