ဋ	Ta
ဋြွာ	Tywar
ဋြွာ့	Tywar
ဋြွား	Tywar
ဋြွိ	Tywi
ဋြွီ	Tywee
ဋြွီး	Tywee
ဋြွေ	Tyway
ဋြွေ့	Tyway
ဋြွေး	Tyway
ဋြွဲ	Tywae
ဋြွဲ့	Tywae
ဋြွော်	Tywaw
