ဃ	Gha
ဃျွီး	Ghywee
ဃျွေ	Ghyway
ဃျွေ့	Ghyway
ဃျွေး	Ghyway
ဃျွဲ	Ghywae
ဃျွဲ့	Ghywae
ဃျွော်	Ghywaw
ဃြွ	Ghywa
ဃြွက်	Ghywet
ဃြွင်	Ghywin
ဃြွင့်	Ghywin
ဃြွင်း	Ghywin
ဃြွတ်	Ghywat
ဃြွန်	Ghywan
ဃြွန့်	Ghywan
ဃြွန်း	Ghywan
ဃြွပ်	Ghywap
ဃြွမ်	Ghywam
ဃြွမ့်	Ghywam
ဃြွမ်း	Ghywam
ဃြွာ	Ghywar
ဃြွာ့	Ghywar
ဃြွား	Ghywar
ဃြွိ	Ghywi
ဃြွီ	Ghywee
ဃြွီး	Ghywee
ဃြွေ	Ghyway
ဃြွေ့	Ghyway
ဃြွေး	Ghyway
ဃြွဲ	Ghywae
ဃြွဲ့	Ghywae
ဃြွော်	Ghywaw
